@@,name,position
---,Sheikh Abdulrahman bin Hamad bin Jassim bin Hamad Al Thani,"Minister of Culture, Arts and Heritage"
---,Salah bin Ghanem Al Ali,Minister of Sports and Youth
---,Saad Sherida al-Kaabi,Minister of Energy
---,Mohammed bin Hamad bin Qassim Al Abdullah Al Thani,Minister of Commerce and Industry
---,Mohammed bin Ali bin Mohammed Al Mannai,Minister of Information and Communications Technology (ictQATAR)
---,Mohammed bin Abdullah bin Mohammed Al Yousef Al-Sulaiti,Minister of State for Cabinet Affairs
---,Mariam bint Ali bin Nasser Al Misnad,Minister of Social Development and Family
---,Khalid bin Mohammad Al Attiyah,Minister of Defence of Qatar
---,Khalid bin Khalifa bin Abdul Aziz Al Thani,Minister of the Interior
---,Khalid bin Khalifa bin Abdul Aziz Al Thani,Prime Minister of Qatar
---,Jassim bin Saif bin Ahmed Al Sulaiti,Minister of Transport
---,Hanan Mohamed Al Kuwari,Minister of Public Health
---,Ghanem bin Shaheen bin Ghanem Al Ghanim,Minister of Awqaf and Islamic Affairs
---,Faleh bin Nasser bin Ahmed bin Ali Al Thani,Minister of the Environment of Qatar
---,Buthaina Bint Ali Al Jabr Al Nuaimi,Minister of Education and Higher Education
---,Ali bin Saeed bin Smaikh Al Marri,Minister of Labour
---,Ali bin Ahmed Al Kuwari,Minister of Finance of Qatar
---,Abdullah bin Abdulaziz bin Turki Al Subaie,Minister of Municipality
