position,title
Q25711499,Emir
Q30100647,Prime Minister
Q108861084,Deputy Prime Minister
Q110182502,Minister of Business and Trade
Q106762274,Minister of Commerce and Industry
Q110183221,Minister of Commerce and Industry
Q110182482,Minister of Culture
Q110182640,Minister of Defence
Q110182437,Minister of Development Planning and Statistics
Q110183226,Minister of Education and Higher Education
Q110182815,Minister of Energy
Q110182471,Minister of the Environment
Q110182380,Minister of Finance
Q108861056,Minister of Foreign Affairs
Q108861091,Minister of Industry and Energy
Q110182490,Minister of Information and Communications Technology
Q110182528,Minister of the Interior
Q110182358,Minister of Islamic Affairs
Q110182394,Minister of Justice
Q110183234,Minister of Labour
Q110183210,Minister of Municipality
Q110183282,Minister of Public Health
Q110183240,Minister of Social Development and Family
Q110183206,Minister of Sports and Youth
Q110183197,Minister of Transport
Q110183244,Minister of State for Cabinet Affairs
Q110183297,Speaker of the Shura Council
Q110183389,Governor of the Central Bank
Q110183427,Chief of Armed Forces
